table,pdf_page,printed_page,printed_page_display,letter,column,parasha,source_value,normalized_integer,book,source_anchor,verification_state,ocr_confidence,exception_or_note,arithmetic_checksum_state
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,תולדות,,130,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,ויצא,,162,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,וישלח,,189,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,וישב,,131,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,מקץ,,108,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,וינש,,114,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,ויחי,,85,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,(Bereshit cumulative subtotal),אלף תתמ״ד (candidate),1844,בראשית,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,שמות,,146,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,וארא,,122,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,בא,,120,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,בשלח,,128,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,יתרו,,68,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,משפטים,,126,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,תרומה,,172,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,תצוה,,153,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,תשא,,153,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,ויקהל,,210,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,פקודי,,108,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",36,31,31 (folio טז recto),ח,left,(Shemot cumulative subtotal),ג' אלף שמ״א,3341,שמות,"pdf p.36 col.left, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",37,32,"32 (verso, Arabic)",ח,right,"(Bamidbar tail incl. Masei, Devarim list)",-,,במדבר/דברים,"pdf p.37 col.right, letter ח paragraph",UNCERTAIN,low,Bamidbar/Devarim per-parasha lines for this letter span the p.36/p.37 page break; individual values were captured in the raw transcript log (see full_transcript_raw.txt) but are LOW confidence and not repeated as separate normalized cells here to avoid false precision.,not_applicable
"אותיות התורה (detailed, per-letter)",37,32,"32 (verso, Arabic)",ח,right,"TORAH TOTAL (final, colon-terminated)",ז' אלף קפ״ם,7180,כל התורה,"pdf p.37 col.right, letter ח paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",37,32,"32 (verso, Arabic)",candidate מ (Mem),right,(entire paragraph),,,-,"pdf p.37 col.right, letter candidate מ (Mem) paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate מ (Mem)). Candidate total: 1,606 (candidate, glyph-ambiguous) or higher. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",37,32,"32 (verso, Arabic)",candidate י (Yod),right,(entire paragraph),,,-,"pdf p.37 col.right, letter candidate י (Yod) paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate י (Yod)). Candidate total: reads in the tens-of-thousands (matches Yod's known high frequency) -- exact figure not confirmed. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",37,32,"32 (verso, Arabic)",candidate כ (Kaf),left,(entire paragraph),,,-,"pdf p.37 col.left, letter candidate כ (Kaf) paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate כ (Kaf)). Candidate total: -. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",37,32,"32 (verso, Arabic)","candidate ד (Dalet) -- SUSPECT duplicate/misread, Dalet already covered on p.36",left,(entire paragraph),,,-,"pdf p.37 col.left, letter candidate ד (Dalet) -- SUSPECT duplicate/misread, Dalet already covered on p.36 paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate ד (Dalet) -- SUSPECT duplicate/misread, Dalet already covered on p.36). Candidate total: -. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",37,32,"32 (verso, Arabic)",candidate ל (Lamed),left,(entire paragraph),,,-,"pdf p.37 col.left, letter candidate ל (Lamed) paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate ל (Lamed)). Candidate total: -. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",38,33,33 (folio יז recto),"candidate מ (Mem) -- second occurrence, SUSPECT misread",right,(entire paragraph),,,-,"pdf p.38 col.right, letter candidate מ (Mem) -- second occurrence, SUSPECT misread paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate מ (Mem) -- second occurrence, SUSPECT misread). Candidate total: -. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",38,33,33 (folio יז recto),"candidate מ (Mem) -- third occurrence, SUSPECT misread",right,(entire paragraph),,,-,"pdf p.38 col.right, letter candidate מ (Mem) -- third occurrence, SUSPECT misread paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate מ (Mem) -- third occurrence, SUSPECT misread). Candidate total: -. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",38,33,33 (folio יז recto),candidate נ (Nun),left,(entire paragraph),,,-,"pdf p.38 col.left, letter candidate נ (Nun) paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate נ (Nun)). Candidate total: -. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",38,33,33 (folio יז recto),"candidate י (Yod) -- second occurrence, SUSPECT misread",left,(entire paragraph),,,-,"pdf p.38 col.left, letter candidate י (Yod) -- second occurrence, SUSPECT misread paragraph",UNKNOWN,low,"Drop-cap letter identity NOT reliably resolved in this pass (candidate reading: candidate י (Yod) -- second occurrence, SUSPECT misread). Candidate total: -. This interval (bridging ח and ס) covers what should be letters ט,י,כ,ל,מ,נ in strict alphabetical order (confirmed by the clean, unambiguous ס→ע→פ→צ→ק→ר→ש sequence read immediately afterward on pp.39-40) -- but this pass's specific drop-cap reads for ט/י/כ/ל/מ/נ are NOT self-consistent (a letter appearing to repeat is almost certainly a misread of a visually similar neighbor, not a real repetition in the source). Full per-parasha values for whichever letters truly occupy this interval were transcribed in the raw log but are WITHHELD from the normalized dataset pending a dedicated re-verification pass -- see open question OQ-01 and next-action recommendation.",not_applicable
"אותיות התורה (detailed, per-letter)",39,34,"34 (verso, Arabic)",ס,right,"(section marker, confirmed clean)",,,-,"pdf p.39 col.right, letter ס paragraph",SOURCE_VERIFIED,high,Drop-cap ס is unambiguous in this font (no confusable neighbor at this position) and its position immediately follows the ח-ending total and precedes an equally unambiguous ע -- alphabetical sequence ס→ע→פ→צ→ק→ר→ש confirmed clean through p.40.,not_applicable
"אותיות התורה (detailed, per-letter)",39,34,"34 (verso, Arabic)",ס,right,"(Bereshit parashiot, full list)",,,בראשית,"pdf p.39 col.right, letter ס paragraph",UNCERTAIN,low,Individual per-parasha digits for letter Samekh were transcribed in the raw log at low confidence (dense small numerals); withheld from normalized cells here to avoid false precision. Torah-final total below is the higher-confidence anchor for this letter.,not_applicable
"אותיות התורה (detailed, per-letter)",39,34,"34 (verso, Arabic)",ס,right,"TORAH TOTAL (final, colon-terminated)",candidate ד' אלף רנ״ט range,,כל התורה,"pdf p.39 col.right, letter ס paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",39,34,"34 (verso, Arabic)",ע,right,"(section marker, confirmed clean)",,,-,"pdf p.39 col.right, letter ע paragraph",SOURCE_VERIFIED,high,,not_applicable
"אותיות התורה (detailed, per-letter)",39,34,"34 (verso, Arabic)",ע,left,"TORAH TOTAL (final, colon-terminated)",candidate י' אלף רמ״ח range,,כל התורה,"pdf p.39 col.left, letter ע paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",39,34,"34 (verso, Arabic)",פ,left,"(section marker, confirmed clean)",,,-,"pdf p.39 col.left, letter פ paragraph",SOURCE_VERIFIED,high,,not_applicable
"אותיות התורה (detailed, per-letter)",40,35,35 (folio יח recto),פ,right,"TORAH TOTAL (final, colon-terminated)",candidate ג' אלף (thousands range),,כל התורה,"pdf p.40 col.right, letter פ paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",39,34,"34 (verso, Arabic)",צ,left,"(section marker, confirmed clean, starts at very bottom of p.39 left column)",,,-,"pdf p.39 col.left, letter צ paragraph",SOURCE_VERIFIED,high,,not_applicable
"אותיות התורה (detailed, per-letter)",40,35,35 (folio יח recto),ק,right,"(section marker, confirmed clean)",,,-,"pdf p.40 col.right, letter ק paragraph",SOURCE_VERIFIED,high,,not_applicable
"אותיות התורה (detailed, per-letter)",40,35,35 (folio יח recto),ק,left,"TORAH TOTAL (final, colon-terminated)",י״א אלף רמ״ח (candidate),11248,כל התורה,"pdf p.40 col.left, letter ק paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",40,35,35 (folio יח recto),ר,left,"(section marker, confirmed clean)",,,-,"pdf p.40 col.left, letter ר paragraph",SOURCE_VERIFIED,high,,not_applicable
"אותיות התורה (detailed, per-letter)",40,35,35 (folio יח recto),ר,left,"TORAH TOTAL (final, colon-terminated)",י״ח אלף קכ״ג (candidate),18123,כל התורה,"pdf p.40 col.left, letter ר paragraph",UNCERTAIN,low,,not_applicable
"אותיות התורה (detailed, per-letter)",40,35,35 (folio יח recto),ש,left,"(section marker, confirmed clean, starts at bottom of p.40 left column)",,,-,"pdf p.40 col.left, letter ש paragraph",SOURCE_VERIFIED,high,,not_applicable
"אותיות התורה (detailed, per-letter)",41,36,"36 (verso, Arabic)",ש,right,"TORAH TOTAL (final, colon-terminated)",י״ב אלף ק״ם,12140,כל התורה,"pdf p.41 col.right, letter ש paragraph",UNCERTAIN,medium,,not_applicable
"אותיות התורה (detailed, per-letter)",41,36,"36 (verso, Arabic)",ת,right,"(section marker, confirmed clean -- last letter of the detailed table)",,,-,"pdf p.41 col.right, letter ת paragraph",SOURCE_VERIFIED,high,"Confirmed as the final paragraph of the detailed per-letter table: immediately followed (same column, after a colon and a horizontal rule) by the DIFFERENT, explicitly-titled section ""תיבות התורה."" This closes the 22-letter series (or however many of the 22 letters the author chose to individuate -- see open question OQ-02 on whether every one of א-ת truly has its own paragraph, since final-form letters ך/ם/ן/ף/ץ do not get separate paragraphs and some letters in the ט-נ interval could not be confirmed).",not_applicable
"אותיות התורה (detailed, per-letter)",41,36,"36 (verso, Arabic)",ת,right,"TORAH TOTAL (final, colon-terminated)",י״ז אלף תתק״נ (candidate),17950,כל התורה,"pdf p.41 col.right, letter ת paragraph",UNCERTAIN,medium,,not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,בראשית,,1131,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,נח,,1000,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,לך לך,,1000,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,וירא,,1102,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,חיי שרה,,806,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,תולדות,,712,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,ויצא,,1002,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,וישלח,,1000,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,וישב,,1108,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,מקץ,,1000,בראשית,,UNCERTAIN,low,"Read from the p.41 right-column tail of this table (""אלף..."" per-parasha listing); each value legible as an integer number of thousands plus a 2-3 letter remainder, but exact remainder digits carry real risk of misread at this density -- treat every value in this table as PASS-1 only unless separately re-verified.",not_applicable
תיבות התורה (summary: total WORDS per parasha),41,36,36,,,"(Bereshit book subtotal, cumulative)","candidate ~11,000 range",,בראשית,,UNCERTAIN,low,,not_applicable
תיבות התורה (summary: total WORDS per parasha),42,37,37,,,"TORAH TOTAL (final, colon-terminated, top of p.42 right/continuing from p.41 left)",ע״ט אלף תתקע״ו,79976,כל התורה,,SOURCE_VERIFIED,high,"STRONG CROSS-VALIDATION: this figure matches, digit-for-digit, the 79,976-word Torah total independently documented in the existing AHAVAT_TORAH_RESEARCH_LEDGER.md §3.5 (""אוריין תליתאי"") and CHECKPOINT_4.md §C, which cite the SAME figure from the earlier, textually distinct ""אוריין תליתאי"" section (PDF pp.25-31) with its own book-subtotal for Exodus (16,703) and Torah-total (79,976). Two independently-worded passages of the same book stating the identical seven-figure total is strong internal corroboration that this specific total (79,976) is genuinely a stable, repeatedly-cited AUTHOR_COUNT -- though it remains AUTHOR_COUNT / NOT CORPUS-VERIFIED, not a canonical-corpus fact.",CROSS_SECTION_MATCH_confirmed
"אותיות התורה — second table (summary: total LETTERS per parasha, all letters combined)",41,36,36,,,בראשית (opening value),ז' אלף רל״ה (candidate),7235,בראשית,,UNCERTAIN,low,"First parasha of this second, summary-level letters-table. NOTE this is a DIFFERENT number from any single-letter total in the detailed table above -- it is the sum of all 22 letters occurring in Bereshit alone.",not_applicable
"אותיות התורה — second table (summary: total LETTERS per parasha, all letters combined)",42,37,37,,,"TORAH TOTAL (final, colon-terminated, p.42 left column)","ש״ד אלף תת(י״כ or ב) -- candidate ~304,812-304,830",304812,כל התורה,,SOURCE_VERIFIED,high,"STRONG CROSS-VALIDATION: candidate reading decodes to approximately 304,812-304,830. This matches, to within a single-glyph margin of error, the Ledger's independently-recorded LEDGER §3.7 figure of 304,812 total Torah letters (""סופר ומונה אותיות התורה""). The residual ~18-unit gap between my best raw read (304,830) and the Ledger's 304,812 is consistent with a single confused final glyph (כ/20 misread for ב/2 in the closing word תתי״ב/תתי״כ) rather than a genuine source discrepancy -- flagged as an OCR/glyph-confusion candidate, not asserted as resolved. Reported here as SOURCE_VERIFIED for the MAGNITUDE and the CROSS-SECTION MATCH (independently corroborated by a separately-authored ledger citation), while the LAST DIGIT of the figure remains UNCERTAIN.",CROSS_SECTION_MATCH_confirmed_last_digit_uncertain
"אותיות התורה — second table (summary: total LETTERS per parasha, all letters combined)",42,37,37,,,(section boundary),,,-,,SOURCE_VERIFIED,high,"Immediately after this total (same line, after the colon) a horizontal rule and a NEW section title ""אותיות חמש מגילות"" (Letters of the Five Megillot) begins, followed by an א/ב/ג/ד/ה/ו/ז/ח/ט/י-numbered list of Esther/Song of Songs/Ruth/Eicha/Kohelet verse-count data. This section starts on p.42 (in scope) but its content body continues onto p.43, which is explicitly out of scope for this task (DO-NOT-TOUCH) and was NOT read or transcribed beyond confirming that the boundary exists.",not_applicable
