id,original_phrase,numeric_expression,parse_type,parsed_number,parse_confidence,roundtrip_status,gematria_values,self_numeric_hit,cross_research_hits,year_overlap,method_claim_overlap,target_overlap,generated_existing_match,ambiguity_reason,special_flags,source,category_prior
149,בוא משיח שתים אפס אחת חמש,"שתים, אפס, אחת, חמש",E_mixed_numeric_phrase,,low,no_roundtrip,2015,False,research_interest:2015,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
150,בחמש שבע שבע שש משיח בן יוסף,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2260,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
151,ביאת אליהו באלפים חמש עשרה,"אלפים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,1551,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
152,ביאת בן דוד בעשירי בטבת חמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,3176,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
153,ביאת המלך בעשירי בטבת חמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,3205,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
154,ביאת המשיח אלף שלש מאות שלשים וחמשה,"אלף, חמשה, מאות, שלש, שלשים",E_mixed_numeric_phrase,,low,no_roundtrip,3003,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
155,ביאת המשיח בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2625,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
156,ביאת המשיח בשנת אלפיים חמש עשרה - אחרי,"אלפיים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,4440,False,,True,not_a_method_claim,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
157,ביאתי 1335- מילוי ללא לפי -אחת,אחת,F_ambiguous,,,no_roundtrip,7180,False,,False,unresolved_mismatch,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
158,בית המקדש באלפים חמש עשרה -אותיות,"אלפים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,2770,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
159,בן דוד יבוא בחמש שבע שבע שש ∆,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,6634,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
160,בן דויד אליהו חמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,excel_import,mixed_numeric_phrase
161,בן דויד חמש שבע שבע שש ∆,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,6606,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
162,בן דויד יבוא ב י טבת בחמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2212,False,anchor:2212,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
163,בניסן חמשת אלפים שבע מאות שבעים ושש,"אלפים, חמשת, מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2928,False,,True,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
164,"ברק חוסיין אובמה השני גוג י""ח ∆",שני,F_ambiguous,,,no_roundtrip,12441,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
165,בשנת חמשת אלפים שבע מאות שבעים ושש,"אלפים, חמשת, מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,3508,False,,True,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
166,בשתי שבתות,שתי,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,mixed_numeric_phrase
167,גאולה בעתה בחמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2216,False,anchor:2216,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
168,גואל חמש שש שש,"חמש, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1588,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
169,דוד בן ישי עשרה טבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1372,False,,False,,,,,,excel_import,mixed_numeric_phrase
170,דויד בן ישי בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2245,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
171,דויד בן ישי בשבע שבע שש לפני,"שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1912,False,,False,not_a_method_claim,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
172,דעת 337 - לפני - מילוי ללא 1396 (שלוש),שלוש,E_mixed_numeric_phrase,3,medium,no_roundtrip,1474,False,,False,no_claimed_value,,,,,excel_import,mixed_numeric_phrase
173,דעת ארבע שבע ארבע,"ארבע, שבע",E_mixed_numeric_phrase,,low,no_roundtrip,1392,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
174,דעת עשרים עשרים ושתים,עשרים,E_mixed_numeric_phrase,20,medium,no_roundtrip,2470,False,,False,,,,,,excel_import,mixed_numeric_phrase
175,דרגתי בעתה אחת אחת אחת אחת אחת,אחת,F_ambiguous,,,no_roundtrip,3139,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
176,האחד שלי 1317,אחד,F_ambiguous,,,no_roundtrip,358,False,anchor:358,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
177,האחת היחידה,אחת,F_ambiguous,,,no_roundtrip,456,False,anchor:456,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
178,האלף האחרון 386 עם האותיות 396,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,386,False,research_interest:386,False,,,,,,excel_import,mixed_numeric_phrase
179,הוא אחד,אחד,F_ambiguous,,,no_roundtrip,25,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
180,הוא משיחכם באלפיים חמש עשרה - סת,"אלפיים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,386,False,research_interest:386,True,candidate_pending,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
181,החטר מגזע ישי באלפים חמש עשרה,"אלפים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,1748,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
182,הישועה בימינו עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1502,False,,False,,,,,,excel_import,mixed_numeric_phrase
183,הכנסת העשרים היא האחרונה,עשרים,E_mixed_numeric_phrase,20,medium,no_roundtrip,1451,False,,False,,,,,,excel_import,mixed_numeric_phrase
184,המלך 1335 1290- לפני 4340- איק בכר לפי- אחד,אחד,F_ambiguous,,,no_roundtrip,2212,False,anchor:2212,False,not_a_method_claim,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
185,המלך האחרון בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2214,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
186,המשיח בעשרה בטבת שבע מאות שבעים ושש,"מאות, עשרה, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,3200,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
187,המשיח ברוח הקדש בעשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1978,False,,False,,,,,,excel_import,mixed_numeric_phrase
188,המשיח בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2212,False,anchor:2212,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
189,המשיח ואליהו באלפים חמש עשרה -מסתתר,"אלפים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,1644,False,,False,no_claimed_value,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
190,המשיח שש שבע,"שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1335,False,research_interest:1335,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
191,הנשמה בת ששת אלפים השנים,"אלפים, שנים, ששת",E_mixed_numeric_phrase,,low,no_roundtrip,2368,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
192,העשרת אורניום - 2310 וכן 1288,עשרת,E_mixed_numeric_phrase,10,medium,no_roundtrip,3330,False,,False,,,,,,excel_import,mixed_numeric_phrase
193,הקדוש ברוך הוא + תורה + ישראל + אחד,אחד,F_ambiguous,,,no_roundtrip,1820,False,anchor:1820,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:1820,excel_import,mixed_numeric_phrase
194,הקץ חמשת אלפים שבע מאות שבעים ושש,"אלפים, חמשת, מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2951,False,,True,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
195,השכינה בעשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1380,False,,False,,,,,,excel_import,mixed_numeric_phrase
196,השכינה הקדשה ישראל אחד,אחד,F_ambiguous,,,no_roundtrip,1358,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
197,השנה אלפיים חמש עשרה - ריבוע,"אלפיים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,1742,False,,True,no_claimed_value,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
198,התגלות אליהו והמשיח בעוד ארבעים יום,ארבעים,E_mixed_numeric_phrase,40,medium,no_roundtrip,1726,False,,False,,,,,,excel_import,mixed_numeric_phrase
199,התגלות בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2693,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
200,התגלות המשיח בחמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2901,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
201,התגלות המשיח בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,3056,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
202,התגלותו בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2699,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
203,התגלותך בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2713,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
204,התגלותך כמשיח בעוד שלשים וחמשה יום,"חמשה, שלשים",E_mixed_numeric_phrase,,low,no_roundtrip,2419,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
205,וארבע מאות איש עמו,"ארבע, מאות",E_mixed_numeric_phrase,,low,no_roundtrip,1153,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
206,"וּבָא לְצִיּוֹן גּוֹאֵל, וּלְשָׁבֵי פֶשַׁע בְּיַעֲקֹב--נְאֻם, יְהוָה ליהוה בחמשת אלפים שבע מאות שבעים ושש- משולש גדול","אלפים, חמשת, מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,26626,False,,True,no_claimed_value,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
207,"וְזֹאת לִיהוּדָה, וַיֹּאמַר, שְׁמַע יְהוָה קוֹל יְהוּדָה, וְאֶל-עַמּוֹ תְּבִיאֶנּוּ; יָדָיו רָב לוֹ, וְעֵזֶר מִצָּרָיו תִּהְיֶה התגלות מלך המשיח בחמשת אלפים שבע מאות שבעים ושש","אלפים, חמשת, מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2660,False,,True,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
208,ויהוה עליהם יראה ויו יוד הי ויו הי עין למד יוד הי מם יוד ריש אלף הי,אלף,E_mixed_numeric_phrase,1000,medium,no_roundtrip,1472,False,,False,,,,,,excel_import,mixed_numeric_phrase
209,וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים ביאת המשיח באלפיים חמש עשרה - מילוי,"אלפיים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,14000,False,,True,no_claimed_value,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
210,וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים ביאת המשיח באלפיים חמש עשרה-מיקום האות -70000-מילוי =פי 5,"אלפיים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,4440,False,,True,unresolved_mismatch,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
211,וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים. אלפיים חמש עשרה,"אלפיים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,4620,False,,True,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
212,וַיִּקְרָא יַעֲקֹב אֶל בָּנָיו וַיֹּאמֶר הֵאָסְפוּ וְאַגִּידָה לָכֶם אֵת אֲשֶׁר יִקְרָא אֶתְכֶם בְּאַחֲרִית הַיָּמִים. חמשת אלפים שבע מאות שבעים ושש -33750-לפני =פי 5,"אלפים, חמשת, מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,22120,False,,True,not_a_method_claim,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
213,חכמה שבעים ושלש,"שבעים, שלש",E_mixed_numeric_phrase,,low,no_roundtrip,1131,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
214,חמש שבע שבע שש באותיות,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2517,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
215,חמש שבע שבע שש המשכלים יבינו,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2215,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
216,חמש שלש שלש (533) - מילוי דמילוי,"חמש, שלש",E_mixed_numeric_phrase,,low,no_roundtrip,13360,False,,False,unresolved_mismatch,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
217,י ה ו ה אחד מעתה ועד עולם,אחד,F_ambiguous,,,no_roundtrip,780,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
218,יבא גואל בעתה חמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2222,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
219,יהיה אחד,אחד,F_ambiguous,,,no_roundtrip,43,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
220,יהיה אחד * 26 - מסתתר,אחד,F_ambiguous,,,no_roundtrip,676,False,,False,unresolved_mismatch,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
221,יום ביאת המשיח האמיתי עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,2286,False,,False,,,,,,excel_import,mixed_numeric_phrase
222,יום הדין העשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1118,False,anchor:1118,False,,strong_number_target:1118,,,B_gematria_hits:1118,excel_import,mixed_numeric_phrase
223,יום ההתגלות עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1893,False,,False,,,,,,excel_import,mixed_numeric_phrase
224,יום הויה הגדול והנורא עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1386,False,,False,,,,,,excel_import,mixed_numeric_phrase
225,יום התגלותי כמשיח יהוה עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,2302,False,,False,,,,,,excel_import,mixed_numeric_phrase
226,יפול מצדך אלף ורבבה מימינך,"אלף, רבבה",E_mixed_numeric_phrase,,low,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:776,excel_import,mixed_numeric_phrase
227,כי לה' המלוכה אלף שמונה מאות עשרים,"אלף, מאות, עשרים, שמונה",E_mixed_numeric_phrase,,low,no_roundtrip,1750,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
228,כי שבע יפול צדיק וקם,שבע,E_mixed_numeric_phrase,7,medium,no_roundtrip,878,False,anchor:878,False,,,,,,excel_import,mixed_numeric_phrase
229,כתובת המשיח באחוזה ששים ושמונה אחרי,"שמונה, ששים",E_mixed_numeric_phrase,,low,no_roundtrip,2496,False,,False,not_a_method_claim,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
230,לי דרגת מלך המשיח ה11111-גדול- אחת,אחת,F_ambiguous,,,no_roundtrip,3630,False,,False,unresolved_mismatch,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
231,מאה ארבעים ושמונה (148),"ארבעים, מאה, שמונה",E_mixed_numeric_phrase,,low,no_roundtrip,776,False,anchor:776,False,,strong_number_target:776,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:776,excel_import,mixed_numeric_phrase
232,מי ימשח למלך בעוד עשרים וששה יום,"עשרים, ששה",E_mixed_numeric_phrase,,low,no_roundtrip,1897,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
233,מי יקבל תורה חדשה משלוש,שלוש,E_mixed_numeric_phrase,3,medium,no_roundtrip,1796,False,,False,,,,,,excel_import,mixed_numeric_phrase
234,מי יתגלה בעוד ארבעים יום,ארבעים,E_mixed_numeric_phrase,40,medium,no_roundtrip,959,False,,False,,,,,,excel_import,mixed_numeric_phrase
235,מימד חמש 1472,חמש,E_mixed_numeric_phrase,5,medium,no_roundtrip,442,False,,False,,,,,,excel_import,mixed_numeric_phrase
236,מלחמה אחת אהובי בא,אחת,F_ambiguous,,,no_roundtrip,559,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
237,מלחמה אלפים חמש מאות וארבע,"אלפים, ארבע, חמש, מאות",E_mixed_numeric_phrase,,low,no_roundtrip,1358,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
238,מלחמת גוג ומגוג בעוד עשרים ושבעה יום,"עשרים, שבעה",E_mixed_numeric_phrase,,low,no_roundtrip,1729,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
239,מלך אחד על כל העולם,אחד,F_ambiguous,,,no_roundtrip,404,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
240,מלך המשיח בעשירי בטבת חמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,3150,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
241,מלך המשיח יבוא באלפיים שש עשרה,"אלפיים, עשרה, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,True,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,excel_import,mixed_numeric_phrase
242,מלכותי באלפיים שש עשרה -לפני =פי 5,"אלפיים, עשרה, שש",E_mixed_numeric_phrase,,low,no_roundtrip,6440,False,,True,not_a_method_claim,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
243,מֹעֵד שְׁנַת הַשְּׁמִטָּה--בְּחַג הַסֻּכּוֹת בשנה החדשה חמשת אלפים שבע מאות שבעים ושש - אחס בטע,"אלפים, חמשת, מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,5312,False,,True,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
244,מֹעֵד שְׁנַת הַשְּׁמִטָּה--בְּחַג הַסֻּכּוֹת. חמשת אלפים שבע מאות שבעים ושש,"אלפים, חמשת, מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,4483,False,,True,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
245,מצפון תפתח הרעה בעוד עשרים ושבעה יום,"עשרים, שבעה",E_mixed_numeric_phrase,,low,no_roundtrip,2575,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
246,משיח בן דוד עבדך חמש שבע שבע שש,"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2212,False,anchor:2212,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
247,משיח בן דוד שבע שבע שש ∆,"שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,6606,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
248,משיח בן דויד חמש שבע שבע שש ( ∆ ישר והפוך),"חמש, שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,15334,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
249,משיח בשבע מאות שבעים ושש,"מאות, שבע, שבעים, שש",E_mixed_numeric_phrase,,low,no_roundtrip,2207,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
250,משיח יבא בשבע שבע שש,"שבע, שש",E_mixed_numeric_phrase,,low,no_roundtrip,1717,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
251,משיח יה שלוש חמש שמונה,"חמש, שלוש, שמונה",E_mixed_numeric_phrase,,low,no_roundtrip,1758,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
252,משיח יהוה באלפים חמש עשרה - מיקום,"אלפים, חמש, עשרה",E_mixed_numeric_phrase,,low,no_roundtrip,248,False,research_interest:248,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
253,משיח יהוה יתגלה עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1820,False,anchor:1820,False,,,,,B_gematria_hits:1820,excel_import,mixed_numeric_phrase
254,משיחי יתגלה בעוד ארבעים יום,ארבעים,E_mixed_numeric_phrase,40,medium,no_roundtrip,1277,False,,False,,,,,,excel_import,mixed_numeric_phrase
255,סוד 1820 - אחד,אחד,F_ambiguous,,,no_roundtrip,83,False,,False,,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
256,סוד אלף שמונה מאות עשרים כי לה' המלוכה,"אלף, מאות, עשרים, שמונה",E_mixed_numeric_phrase,,low,no_roundtrip,1820,False,anchor:1820,False,,,,multi_token_embedded_phrase_no_confident_single_parse,B_gematria_hits:1820,excel_import,mixed_numeric_phrase
257,סוד המשיח האחרון 1335-גדול -לפי-אחת,אחת,F_ambiguous,,,no_roundtrip,3370,False,,False,unresolved_mismatch,,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),,excel_import,mixed_numeric_phrase
258,סוד יהוה 1820 סופי תיבות (אחת) 1337 לפני,אחת,F_ambiguous,,,no_roundtrip,514,False,research_interest:514,False,not_a_method_claim,strong_number_target:514,,bare_low_digit_or_ordinal_word_needs_context (Sec.4 false-positive rule: אחד/שני-class),B_gematria_hits:514,excel_import,mixed_numeric_phrase
259,עם קשה עורף אנחנו ב = 988 רגיל = עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,,False,,False,engine_verified,,,,,excel_import,mixed_numeric_phrase
260,עצמאות שבעים ושלוש,"שבעים, שלוש",E_mixed_numeric_phrase,,low,no_roundtrip,1671,False,,False,,,,multi_token_embedded_phrase_no_confident_single_parse,,excel_import,mixed_numeric_phrase
261,עשר הספירות,עשר,E_mixed_numeric_phrase,10,medium,no_roundtrip,1331,False,,False,,,,,,excel_import,mixed_numeric_phrase
262,עשר שמיטות,עשר,E_mixed_numeric_phrase,10,medium,no_roundtrip,1335,False,research_interest:1335,False,,,,,,excel_import,mixed_numeric_phrase
263,עשרה בטבת,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,988,False,,False,,,,,,excel_import,mixed_numeric_phrase
264,עשרה בטבת דויד בן ישי יתגלה,עשרה,E_mixed_numeric_phrase,10,medium,no_roundtrip,1832,False,,False,,,,,,excel_import,mixed_numeric_phrase
