# RESIDUAL LEGACY POST CORPUS — NUMERIC CLAIM LEDGER v1
#
# TOTAL 2864 claims: ENGINE_MATCH=1579 | NOT_ENGINE_REPRODUCED=963 | SOURCE_NATIVE_VARIANT=154 | SYSTEM_LAW_APPLICATION=152 | NEAR_MISS_<=3=16
# READ-ONLY. Every claim extracted from the 944-post residual corpus and classified against the
# LIVE canonical engine (public RPC: gematria_api + the 20 registered method functions).
# NOTHING was computed from memory. NO target-fitting: a claim is only ENGINE_MATCH if a registered
# method returns exactly the claimed value.
#
# class vocabulary:
#   ENGINE_MATCH             a registered canonical method reproduces the claimed value exactly
#   SOURCE_NATIVE_VARIANT    reproduces under an explicit historical operator (+כולל, -1, +אותיות, +מילים, combinations)
#   SYSTEM_LAW_APPLICATION   not a phrase calculation at all — a transform of an already-known number
#                            (millennium prefix +5000, decimal scaling x10, zero-law, אור-חוזר reversal,
#                             thousands-drop, spelled-numeral identity)
#   NEAR_MISS_<=3            within 3 of a registered method; recorded, NOT accepted
#   NOT_ENGINE_REPRODUCED    no registered method or justified operator reproduces it
#   NO_ENGINE_DATA           engine returned nothing for this string
#
# source: eq = '=' chain in body text | table = HTML table (value,phrase) row | begim = 'בגימטריה N'/'עולה N'
# columns: source	class	claimed_value	phrase	engine_detail	posts
#
eq	NOT_ENGINE_REPRODUCED	1043	נתניההו	ragil=526; gadol=526	250
eq	NOT_ENGINE_REPRODUCED	566	תקון	ragil=556; gadol=1206	1368
eq	NOT_ENGINE_REPRODUCED	566	משיח בן יוסף כמו שכתוב בנביא שמאדום	ragil=1816; gadol=3746	1368
eq	NOT_ENGINE_REPRODUCED	375	וכן שעה	ragil=451; gadol=1101	1368
eq	ENGINE_MATCH	375	דעאש	gadol; ragil	1368
eq	ENGINE_MATCH	375	שלמה	gadol; ragil	1368
eq	ENGINE_MATCH	358	בדא סיפרא	gadol; ragil; ragil_calc; gadol_calc	1368
eq	ENGINE_MATCH	776	יפקון מן גלותא	ragil	1368
eq	NOT_ENGINE_REPRODUCED	2756	יפקון מן גלותא ברחמי	ragil=1036; gadol=2336	1368
eq	ENGINE_MATCH	348	חמש	gadol; ragil	1368
eq	NOT_ENGINE_REPRODUCED	224	ומהו פרק הזמן הזה בגימטריא יוסף חיים	ragil=1055; gadol=2985	1368
eq	NOT_ENGINE_REPRODUCED	776	תשכון" בתוך ירושלים עירך תשכון	ragil=2876; gadol=5696	1368
eq	ENGINE_MATCH	2015	ירושלם תבנה	miluy	1368
eq	NOT_ENGINE_REPRODUCED	3382	אותיות לפני	ragil=993; gadol=993	1368
eq	NOT_ENGINE_REPRODUCED	106	שם הויה במשולש	ragil=1044; gadol=1604	1368
eq	NOT_ENGINE_REPRODUCED	676	בגימטריה רגילה	ragil=527; gadol=527	1368
eq	NOT_ENGINE_REPRODUCED	776	קרבן תודה עם האותיות והכולל	ragil=1802; gadol=3012	1368
eq	SOURCE_NATIVE_VARIANT	26	ה	hakpala_calc+כולל; hakpala_calc+אותיות; hakpala_calc+מילים	1368
eq	ENGINE_MATCH	76	למו	gadol; ragil	1368
eq	SYSTEM_LAW_APPLICATION	76	ראשי תיבות למו	triangle_reverse_calc mod100	1368
eq	ENGINE_MATCH	76	מול	gadol; ragil	1368
eq	ENGINE_MATCH	76	ומל	gadol; ragil	1368
eq	ENGINE_MATCH	776	וישבת ביום"	ragil	1368
eq	ENGINE_MATCH	776	בשתי ידים"	ragil	1368
eq	NOT_ENGINE_REPRODUCED	776	עדי עד כי ביה הויה צור עולמים"	ragil=723; gadol=1283	1368
eq	NOT_ENGINE_REPRODUCED	775	ה ממצרים"	ragil=425; gadol=985	1368
eq	NOT_ENGINE_REPRODUCED	800	ה ממצרים"	ragil=425; gadol=985	1368
eq	NOT_ENGINE_REPRODUCED	781	ה ממצרים"	ragil=425; gadol=985	1368
eq	NOT_ENGINE_REPRODUCED	1	התשעו	ragil=781; gadol=781	1368
eq	SYSTEM_LAW_APPLICATION	25	ה ממצרים"	hakpala_calc mod100; miluy digit-family(mod9); ragil mod100; ribua_calc digit-family(mod9)	1368
eq	NOT_ENGINE_REPRODUCED	776	וכיוצא בהן לא יידע אדם איך יהיו"	ragil=422; gadol=2112	1368
eq	NOT_ENGINE_REPRODUCED	1776	שנת הגאולה	ragil=800; gadol=800	1368
eq	ENGINE_MATCH	1204	שנה שמלך המשיח נגלה בו"	ragil	1368
eq	ENGINE_MATCH	1204	י' בטבת התשע'ו	gadol; ragil	1368
eq	ENGINE_MATCH	794	קרח ועדתו	gadol; ragil	247
eq	ENGINE_MATCH	794	יש עתיד	gadol; ragil	247
eq	ENGINE_MATCH	345	יאיר לפיד	gadol; ragil	247
eq	ENGINE_MATCH	345	חרון אף	ragil	247
eq	ENGINE_MATCH	345	אלהים אחרים	ragil; ragil_calc	247
eq	ENGINE_MATCH	578	מחלקת	gadol; ragil	247
eq	ENGINE_MATCH	578	מחמצת	gadol; ragil	247
eq	ENGINE_MATCH	578	שלום רב	ragil	247
eq	ENGINE_MATCH	1127	ליל הסדר ה'תשפ"ג	gadol; ragil	247
eq	ENGINE_MATCH	819	דוד מלך ישראל חי וקים	ragil	247
eq	ENGINE_MATCH	819	ימות המשיח	gadol; ragil	247
eq	ENGINE_MATCH	819	ראש חודש	gadol; ragil	247
eq	ENGINE_MATCH	974	שבעת ימי המילואים	ragil	247
eq	ENGINE_MATCH	974	פדות שלח לעמו	gadol; ragil	247
eq	ENGINE_MATCH	974	שלום בירושלים	ragil	247
eq	SOURCE_NATIVE_VARIANT	974	מחה אמחה את זכר עמלק	gadol-1; ragil-1	247
eq	SOURCE_NATIVE_VARIANT	974	והאיש משה ענו מאד מכל אדם	ragil+כולל	247
eq	SYSTEM_LAW_APPLICATION	75	גילו של אברהם ב"ברית בין הבתרים"	misratar digit-family(mod9)	247
eq	ENGINE_MATCH	1331	ברית בין הבתרים	ragil	247
eq	ENGINE_MATCH	770	שבעים חמש	ragil	247
eq	ENGINE_MATCH	771	ביאת משיח	gadol; ragil	247
eq	ENGINE_MATCH	776	שבעים וחמש	ragil	247
eq	ENGINE_MATCH	829	ולא נשא אתם	ragil	247
eq	ENGINE_MATCH	829	דויד מלך ישראל חי וקים	ragil	247
eq	SOURCE_NATIVE_VARIANT	829	צפנת פענח	gadol+כולל; ragil+כולל	247
eq	ENGINE_MATCH	829	תשובה עילאה	gadol; ragil	247
eq	NOT_ENGINE_REPRODUCED	829	רזי התורה	ragil=833; gadol=833	247
eq	SOURCE_NATIVE_VARIANT	829	ספירת החכמה	gadol+כולל; ragil+כולל	247
eq	ENGINE_MATCH	566	רכושם	ragil	247
eq	ENGINE_MATCH	732	לשבת	gadol; ragil	247
eq	ENGINE_MATCH	732	לבן	gadol	247
eq	ENGINE_MATCH	243	ויהי ריב	gadol; ragil	247
eq	ENGINE_MATCH	243	אברם	ragil; ragil_calc	247
eq	ENGINE_MATCH	926	זו רוחו של המשיח	gadol; ragil	247
eq	SOURCE_NATIVE_VARIANT	926	הר	miluy_demiluy_calc+כולל; miluy_demiluy_calc+מילים	247
eq	SOURCE_NATIVE_VARIANT	930	ראש הממשלה	gadol+אותיות; ragil+אותיות	247
eq	ENGINE_MATCH	434	איש מלחמה	gadol; ragil; ragil_calc; gadol_calc	247
eq	ENGINE_MATCH	998	מקנה אברם	gadol	247
eq	ENGINE_MATCH	998	ובין רעי	gadol	247
eq	SOURCE_NATIVE_VARIANT	998	אברהם יצחק ישראל	ragil+כולל; ragil_calc+כולל	247
eq	ENGINE_MATCH	998	באברהם יצחק יעקב משיח	ragil; ragil_calc	247
eq	ENGINE_MATCH	998	באורו של מלך המשיח	ragil; ragil_calc	247
eq	ENGINE_MATCH	240	מקנה לוט	gadol; ragil	247
eq	ENGINE_MATCH	961	אנשים	gadol; gadol_calc	247
eq	ENGINE_MATCH	961	מקבץ נדחי עמו ישראל	ragil	247
eq	ENGINE_MATCH	119	חמינאי	gadol; ragil	247
eq	ENGINE_MATCH	119	בן אוני	ragil	247
eq	ENGINE_MATCH	217	וירא	gadol; ragil	247
eq	ENGINE_MATCH	217	חטר	gadol; ragil	247
eq	ENGINE_MATCH	559	כל ככר הירדן	ragil	247
eq	SOURCE_NATIVE_VARIANT	559	אביגדור ליברמן	ragil+כולל; ragil_calc+כולל	247
eq	SOURCE_NATIVE_VARIANT	919	איתמר בן גביר	ragil+כולל; ragil_calc+כולל	247
eq	ENGINE_MATCH	417	אם השמאל	ragil; ragil_calc	247
eq	ENGINE_MATCH	417	תיבה	gadol; ragil	247
eq	ENGINE_MATCH	417	זית	gadol; ragil	247
eq	ENGINE_MATCH	419	אחדות	gadol; ragil; ragil_calc; gadol_calc	247
eq	SOURCE_NATIVE_VARIANT	629	אם השמאל ואימנה	albam-1; albam_calc-1	247
eq	SOURCE_NATIVE_VARIANT	629	בבחירות	gadol+כולל; gadol+מילים; ragil+כולל; ragil+מילים; gadol_calc+כולל; gadol_calc+מילים; ragil_calc+כולל; ragil_calc+מילים	247
eq	ENGINE_MATCH	162	ואם הימין	ragil	247
eq	SOURCE_NATIVE_VARIANT	552	אם הימין והשמאילה	ragil-1; ragil_calc-1	247
eq	NOT_ENGINE_REPRODUCED	552	משיח במסתתר	ragil=1460; gadol=1460	247
eq	ENGINE_MATCH	552	משביר	gadol; ragil	247
eq	ENGINE_MATCH	708	שחת	gadol; ragil	247
eq	ENGINE_MATCH	708	תש"ח	gadol; ragil	247
eq	ENGINE_MATCH	777	זרעך	gadol	247
eq	ENGINE_MATCH	777	וישבתם בטח	ragil	247
eq	ENGINE_MATCH	777	בעת קץ הימין	ragil	247
eq	ENGINE_MATCH	777	אדום באחרית הימים	ragil; ragil_calc	247
eq	NOT_ENGINE_REPRODUCED	777	מלחמת אוקראינה רוסיה	ragil=1172; gadol=1172	247
eq	ENGINE_MATCH	777	ארבעים וחמש ימים	ragil; ragil_calc	247
eq	ENGINE_MATCH	424	סדם רעים	ragil	247
eq	NOT_ENGINE_REPRODUCED	424	ריב	ragil=212; gadol=212	247
eq	NOT_ENGINE_REPRODUCED	2	כי אני ה' רופאך	ragil=403; gadol=883	247
eq	ENGINE_MATCH	641	מצאתי דוד עבדי	gadol; ragil	247
eq	ENGINE_MATCH	940	התהלך	gadol	247
eq	ENGINE_MATCH	940	רפ"ח ניצוצות	gadol; ragil	247
eq	SOURCE_NATIVE_VARIANT	940	מוצאי שביעית	gadol+כולל; ragil+כולל	247
eq	ENGINE_MATCH	918	בחברון	gadol	247
eq	ENGINE_MATCH	586	וישב בחברון	ragil	247
eq	ENGINE_MATCH	586	ירושלם	ragil	247
eq	NOT_ENGINE_REPRODUCED	123	וישב חברון	ragil=584; gadol=1234	247
eq	SYSTEM_LAW_APPLICATION	4	מקבץ נדחי עמו ישראל	triangle_reverse_calc digit-family(mod9)	247
eq	ENGINE_MATCH	80	י"ע	gadol; ragil	247
eq	ENGINE_MATCH	80	כס	gadol; ragil	247
eq	ENGINE_MATCH	80	יסוד	gadol; ragil	247
eq	ENGINE_MATCH	683	פגם	gadol	247
eq	ENGINE_MATCH	776	וישוואק קומאר	gadol; ragil	44
eq	ENGINE_MATCH	541	ראמש	gadol; ragil	44
eq	NOT_ENGINE_REPRODUCED	110	רמזי נס	ragil=367; gadol=367	44
eq	ENGINE_MATCH	450	תהילה	gadol; ragil	44
eq	ENGINE_MATCH	1000	תהילה על תהילה	gadol; ragil	44
eq	NOT_ENGINE_REPRODUCED	747	אירן במילוי	ragil=359; gadol=1009	44
eq	ENGINE_MATCH	747	אתה אשם	ragil; ragil_calc	44
eq	ENGINE_MATCH	747	זמן	gadol	44
eq	ENGINE_MATCH	747	אומן	gadol; gadol_calc	44
eq	SOURCE_NATIVE_VARIANT	748	לאמר יסף ה' לי בן אחר	ragil+אותיות+מילים	44
eq	ENGINE_MATCH	748	הבן יקיר לי אפרים	ragil	44
eq	ENGINE_MATCH	651	הלוים	gadol	44
eq	NOT_ENGINE_REPRODUCED	1566	המילוי	ragil=101; gadol=101	44
eq	ENGINE_MATCH	974	תתקע"ד	gadol; ragil	44
eq	ENGINE_MATCH	1323	יום השבת	gadol	44
eq	ENGINE_MATCH	1323	בנימן נתניהו	gadol	44
eq	ENGINE_MATCH	1323	שנאורסון	gadol	44
eq	NOT_ENGINE_REPRODUCED	1021	בינה מלאכותית באתבש	ragil=1679; gadol=1679	44
eq	ENGINE_MATCH	1237	איראן התשפה	misratar; mistater_calc	44
eq	ENGINE_MATCH	1237	טהראן התשפה	misratar	44
eq	ENGINE_MATCH	1111	גרעין איראן"	atbash	44
eq	ENGINE_MATCH	874	גרעין איראן"	misratar	44
eq	NOT_ENGINE_REPRODUCED	1714	תשפה	ragil=785; gadol=785	44
eq	ENGINE_MATCH	785	קץ גרעין איראן	ragil	44
eq	ENGINE_MATCH	450	תהליך"	misratar	44
eq	NOT_ENGINE_REPRODUCED	604	תשפ'ו	ragil=786; gadol=786	44
eq	ENGINE_MATCH	89	תשפ"ו	atbash	44
eq	ENGINE_MATCH	789	התשפ"ו	misratar; mistater_gadol_calc	44
eq	NOT_ENGINE_REPRODUCED	112	התשפ"ו	ragil=791; gadol=791	44
eq	ENGINE_MATCH	112	מ ש י ח	atbash	44
eq	SOURCE_NATIVE_VARIANT	89	ים	stair_triangle_calc-1; triangle_reverse_calc-1	44
eq	SYSTEM_LAW_APPLICATION	89	י	miluy_demiluy_calc digit-family(mod9); miluy_demiluy_gadol_calc digit-family(mod9)	44
eq	NOT_ENGINE_REPRODUCED	683	ה ל ד ו ר ו ת"	ragil=651; gadol=651	44
eq	SOURCE_NATIVE_VARIANT	683	ר ב ן ה ב י ת"	ragil+אותיות+מילים	44
eq	NOT_ENGINE_REPRODUCED	683	ן נ ת נ י ה ו	ragil=571; gadol=1221	44
eq	NOT_ENGINE_REPRODUCED	1789	משיח	ragil=358; gadol=358	44
eq	ENGINE_MATCH	1789	התגלות משיח	misratar	44
eq	ENGINE_MATCH	68	חכם"	ragil	977
eq	ENGINE_MATCH	628	חיים"	gadol	977
eq	NOT_ENGINE_REPRODUCED	1000	א' רבתי	ragil=613; gadol=613	977
eq	NOT_ENGINE_REPRODUCED	2000	ב' רבתי	ragil=614; gadol=614	977
eq	NOT_ENGINE_REPRODUCED	3000	ג' רבתי	ragil=615; gadol=615	977
eq	ENGINE_MATCH	91	הכולל"	gadol; ragil	977
eq	NOT_ENGINE_REPRODUCED	1074	סה"כ	ragil=85; gadol=85	977
eq	SYSTEM_LAW_APPLICATION	73	סודות המילה חכמה	hakpala_calc digit-family(mod9); triangle_reverse_calc digit-family(mod9)	298
eq	SYSTEM_LAW_APPLICATION	37	גלרית ה"חכמה	gadol digit-family(mod9); misratar digit-family(mod9); ragil digit-family(mod9); siduri digit-family(mod9)	298
eq	SYSTEM_LAW_APPLICATION	73	ה'חכמה	atbash digit-family(mod9)	298
eq	NOT_ENGINE_REPRODUCED	31	צמח	ragil=138; gadol=138	298
eq	NOT_ENGINE_REPRODUCED	138	שורש מספרי ה'צמח	ragil=1339; gadol=1339	298
eq	NOT_ENGINE_REPRODUCED	137	קבלה המטרה לראות את העולם כ	ragil=1605; gadol=2165	298
eq	NOT_ENGINE_REPRODUCED	718	עני ורוכב על חמור' הכוח ששמו	ragil=1403; gadol=1403	298
eq	NOT_ENGINE_REPRODUCED	718	הגאולה בכל מקום והיא מדברת דרך ה"חדשות	ragil=1903; gadol=2943	298
eq	NOT_ENGINE_REPRODUCED	702	ממספרי ה'שבת	ragil=1137; gadol=1137	298
eq	SYSTEM_LAW_APPLICATION	730	חכמה	gadol zero-law; gadol×10 (decimal scaling); ragil zero-law; ragil×10 (decimal scaling)	298
eq	ENGINE_MATCH	1111	חכמת יהוה אינסופית	gadol; ragil	298
eq	SYSTEM_LAW_APPLICATION	73	כמניין חכמה	kadmi digit-family(mod9); miluy digit-family(mod9); ragil digit-family(mod9); siduri digit-family(mod9)	298
eq	SYSTEM_LAW_APPLICATION	37	ששולט בה הקב"ה זה דרגת ה יחידה	miluy mod100	298
eq	NOT_ENGINE_REPRODUCED	73	בכוח ה"חכמה	ragil=114; gadol=114	298
eq	NOT_ENGINE_REPRODUCED	400	מתקנים את כל המציאות הרמוזה באות ת	ragil=2715; gadol=3275	298
eq	SYSTEM_LAW_APPLICATION	73	בגאולה נקבל דעת ו"חכמה	atbash digit-family(mod9); atbash_calc digit-family(mod9); miluy_demiluy_calc digit-family(mod9); miluy_demiluy_gadol_calc digit-family(mod9)	298
eq	NOT_ENGINE_REPRODUCED	271	המרמז על לידה כי חכמה	ragil=544; gadol=544	298
eq	ENGINE_MATCH	77	מזל	gadol; ragil	298
eq	NEAR_MISS_<=3	45	ב'גאולה	gadol=47(-2); ragil=47(-2); gadol_calc=47(-2); ragil_calc=47(-2)	298
eq	SYSTEM_LAW_APPLICATION	73	חכמה" אנו בשנת ה	atbash digit-family(mod9); miluy digit-family(mod9)	298
eq	SYSTEM_LAW_APPLICATION	33	היה בעיה בגל	stair_triangle_calc digit-family(mod9); stair_triangle_calc zero-law; stair_triangle_calc÷10 (zero-drop); triangle_word_calc digit-family(mod9)	298
eq	NOT_ENGINE_REPRODUCED	333	ולהסיר את מעטה ה"שכחה	ragil=1174; gadol=1174	298
eq	ENGINE_MATCH	358	בן פרצי"	misratar	298
eq	NOT_ENGINE_REPRODUCED	1820	הויה	ragil=26; gadol=26	298
eq	NOT_ENGINE_REPRODUCED	123	ענג" כי החכמה תחיה בעליה	ragil=771; gadol=771	298
eq	ENGINE_MATCH	123	לועזי	gadol; ragil	298
eq	NOT_ENGINE_REPRODUCED	112	ים	ragil=50; gadol=610	1348
eq	SYSTEM_LAW_APPLICATION	1	אחד	SPELLED_NUMERAL_IDENTITY; albam digit-family(mod9); albam_calc digit-family(mod9); miluy_demiluy_calc digit-family(mod9)	1348
eq	NOT_ENGINE_REPRODUCED	780	רגיל	ragil=243; gadol=243	1348
eq	ENGINE_MATCH	148	נחמן	ragil	1348
eq	ENGINE_MATCH	1202	מחריב את ישראל	gadol; ragil	123
eq	ENGINE_MATCH	1202	משה בן עמרם במלך המשיח	ragil	123
eq	ENGINE_MATCH	1202	מלך המשיח במשה בן עמרם	ragil	123
eq	ENGINE_MATCH	747	אתה אשם"	ragil; ragil_calc	123
eq	ENGINE_MATCH	260	מחריב	gadol; ragil	123
eq	ENGINE_MATCH	260	פינחס אליהו	gadol; ragil	123
eq	ENGINE_MATCH	541	מצאתי	gadol; ragil	123
eq	ENGINE_MATCH	912	אתה הראש	gadol; ragil; gadol_calc; ragil_calc	123
eq	ENGINE_MATCH	912	איראן	gadol; gadol_calc	123
eq	ENGINE_MATCH	913	בראשית	gadol; ragil	123
eq	NOT_ENGINE_REPRODUCED	913	אתה תצוה	ragil=907; gadol=907	123
eq	NOT_ENGINE_REPRODUCED	1820	בראשית במילוי	ragil=1011; gadol=1011	123
eq	ENGINE_MATCH	424	החדש הזה לכם	ragil	123
eq	NOT_ENGINE_REPRODUCED	424	כי אני ה' רופאך	ragil=403; gadol=883	123
eq	SYSTEM_LAW_APPLICATION	45	אכן דרך אירן נראה בישראל גאולה	aiq_bekar_calc digit-family(mod9); misratar digit-family(mod9); mistater_calc digit-family(mod9)	123
eq	ENGINE_MATCH	432	בנימין אחימאיר	ragil	123
eq	ENGINE_MATCH	432	בן פרצי	ragil	123
eq	SYSTEM_LAW_APPLICATION	14	דוד' דוד היה רועה צאן	kadmi mod100; kadmi_gadol mod100	123
eq	SYSTEM_LAW_APPLICATION	37	משיח הויה	kadmi mod100; kadmi_gadol mod100	123
eq	ENGINE_MATCH	844	עוד שנה אחת	gadol; ragil	123
eq	ENGINE_MATCH	1718	עוד שנה אחת להתגלות	gadol; ragil	123
eq	NOT_ENGINE_REPRODUCED	1718	תשפד	ragil=784; gadol=784	123
eq	NOT_ENGINE_REPRODUCED	806	גאולה	ragil=45; gadol=45	123
eq	NOT_ENGINE_REPRODUCED	1358	גאולה	ragil=45; gadol=45	123
eq	NOT_ENGINE_REPRODUCED	750	שנה אחת"	ragil=764; gadol=764	123
eq	ENGINE_MATCH	750	ששת ימי המעשה	misratar	123
eq	NOT_ENGINE_REPRODUCED	806	ששת ימי המעשה"	ragil=1480; gadol=1480	123
eq	NOT_ENGINE_REPRODUCED	878	ששת ימי המעשה"	ragil=1480; gadol=1480	123
eq	NOT_ENGINE_REPRODUCED	2024	תשפד	ragil=784; gadol=784	123
eq	ENGINE_MATCH	106	קו	gadol; ragil	123
eq	ENGINE_MATCH	683	הסבירות"	gadol; ragil	182
eq	ENGINE_MATCH	791	חק הסבירות	gadol; ragil	182
eq	ENGINE_MATCH	791	חק בנימין נתניהו	ragil	182
eq	SOURCE_NATIVE_VARIANT	791	עקידת יצחק	gadol-1; ragil-1	182
eq	NOT_ENGINE_REPRODUCED	791	חק נתניהו	ragil=629; gadol=629	182
eq	ENGINE_MATCH	916	עוות המשפט	gadol; ragil	182
eq	ENGINE_MATCH	916	ראש ממשלה	gadol; ragil	182
eq	ENGINE_MATCH	939	משפט ישר	gadol; ragil	182
eq	ENGINE_MATCH	626	תיק האלף	ragil	182
eq	NOT_ENGINE_REPRODUCED	1000	משיח בן יוסף	ragil=566; gadol=1936	182
eq	NOT_ENGINE_REPRODUCED	1000	סה"כ	ragil=85; gadol=85	182
eq	ENGINE_MATCH	374	דמוקרטיה	gadol; ragil	182
eq	ENGINE_MATCH	374	אחישנה	gadol; ragil; ragil_calc; gadol_calc	182
eq	NOT_ENGINE_REPRODUCED	683	בושה	ragil=313; gadol=313	182
eq	ENGINE_MATCH	683	עד חצי המלכות	gadol; ragil	182
eq	SOURCE_NATIVE_VARIANT	683	עדים	gadol-1	182
eq	SOURCE_NATIVE_VARIANT	683	עדי שקר	gadol-1; ragil-1	182
eq	ENGINE_MATCH	683	בשער הנון	ragil	182
eq	ENGINE_MATCH	861	חק הנבצרות"	gadol; ragil	182
eq	ENGINE_MATCH	812	היום הרת עולם"	ragil	182
eq	NOT_ENGINE_REPRODUCED	626	היום יעמד במשפט	ragil=616; gadol=1176	182
eq	NOT_ENGINE_REPRODUCED	521	ברוך ה' המברך	ragil=500; gadol=1460	182
eq	ENGINE_MATCH	861	ענוים הגיע זמן גאולתכם"	ragil	182
eq	ENGINE_MATCH	861	על אבינו שבשמים	ragil	182
eq	SOURCE_NATIVE_VARIANT	861	קליפת עמלק	gadol+כולל; ragil+כולל	182
eq	ENGINE_MATCH	861	מאה השמינית	gadol; ragil	182
eq	SOURCE_NATIVE_VARIANT	861	תכלית	gadol+כולל; gadol+מילים; ragil+כולל; ragil+מילים	182
eq	SOURCE_NATIVE_VARIANT	861	משענת	gadol+כולל; gadol+מילים; ragil+כולל; ragil+מילים; misratar+כולל; misratar+מילים	182
eq	ENGINE_MATCH	1202	הגג של בית המקדש	gadol; ragil	182
eq	NOT_ENGINE_REPRODUCED	1202	בן גביר	ragil=267; gadol=917	182
eq	ENGINE_MATCH	1202	שעה התבודדות	gadol; ragil	182
eq	ENGINE_MATCH	345	גשבמ	gadol; ragil	182
eq	ENGINE_MATCH	345	בשגם	ragil	182
eq	ENGINE_MATCH	345	אל שדי	gadol; ragil; gadol_calc; ragil_calc	182
eq	ENGINE_MATCH	999	מלך משפט	gadol	182
eq	SYSTEM_LAW_APPLICATION	33	שזה סוד ה"גל	gadol digit-family(mod9); ragil digit-family(mod9); siduri digit-family(mod9)	8
eq	ENGINE_MATCH	404	שליטה במח	gadol; ragil	8
eq	NOT_ENGINE_REPRODUCED	1789	כדי להגיע ל"התגלות משיח	ragil=1384; gadol=1384	8
eq	ENGINE_MATCH	404	כניסה למקלטים	ragil	8
eq	ENGINE_MATCH	1790	מלחמת גוג ומגוג התגלות משיח	gadol; ragil	8
eq	ENGINE_MATCH	520	והגדת לבנך	ragil	8
eq	SYSTEM_LAW_APPLICATION	52	המילה בן	ragil digit-family(mod9); siduri digit-family(mod9)	8
eq	ENGINE_MATCH	52	אבא ואמא	gadol; ragil; ragil_calc; gadol_calc	8
eq	ENGINE_MATCH	750	שבת הגדול	gadol; ragil	8
eq	ENGINE_MATCH	750	זמן הגאולה בני ישראל	ragil	8
eq	ENGINE_MATCH	1366	בכל דור ודור עומדים עלינו לכלותינו	ragil	8
eq	ENGINE_MATCH	1366	אלפיים שנות גלות	ragil; ragil_calc	8
eq	ENGINE_MATCH	1366	גאלת עולם תשפ"ו	ragil	8
eq	NOT_ENGINE_REPRODUCED	148	אז פסח	ragil=156; gadol=156	8
eq	ENGINE_MATCH	1120	שמחה רבה שמחה רבה	gadol; ragil	8
eq	ENGINE_MATCH	1120	ש שי שיר	gadol; ragil	8
eq	ENGINE_MATCH	1120	רוח חיים חוזרת מגן עדן	ragil	8
eq	ENGINE_MATCH	1120	הפלת השקר	gadol; ragil	8
eq	ENGINE_MATCH	1120	יום שכולו שבת	ragil	8
eq	ENGINE_MATCH	1120	בגדי תפארתך	ragil; ragil_calc	8
eq	ENGINE_MATCH	112	יהוה אלהים	ragil	8
eq	NOT_ENGINE_REPRODUCED	560	ים ויעבירם״	ragil=388; gadol=1508	8
eq	ENGINE_MATCH	560	סיום הגלות	ragil	8
eq	NOT_ENGINE_REPRODUCED	560	אליהו הנביא ומשיח בן דוד	ragil=550; gadol=1200	8
eq	ENGINE_MATCH	560	הפתעה	gadol; ragil	8
eq	ENGINE_MATCH	560	קץ אחרון ליהודים	ragil	8
eq	ENGINE_MATCH	560	שיר הגאולה	gadol; ragil	8
eq	ENGINE_MATCH	560	הנני שולח אליכם	ragil	8
eq	NOT_ENGINE_REPRODUCED	177	מילאו כיסי	ragil=187; gadol=187	8
eq	ENGINE_MATCH	67	אגוזים	ragil; ragil_calc	8
eq	ENGINE_MATCH	358	אגוז לוז עצם לחיים	ragil; ragil_calc	8
eq	ENGINE_MATCH	222	מלאו כיסי בלוז	gadol; ragil	8
eq	ENGINE_MATCH	891	התנערי קומי	gadol; ragil	8
eq	ENGINE_MATCH	891	יציאת מצרים	ragil	8
eq	ENGINE_MATCH	441	והיא שעמדה	gadol; ragil	8
eq	ENGINE_MATCH	441	צו השם	ragil	8
eq	ENGINE_MATCH	1314	פסח של גאולה התשפ"ו	gadol; ragil	8
eq	NOT_ENGINE_REPRODUCED	1314	ניסן תשפ"ו	ragil=956; gadol=1606	8
eq	ENGINE_MATCH	1314	ביאת נביא אליהו תשפ"ו	gadol; ragil	8
eq	ENGINE_MATCH	1314	מפתח הגאולה נמצא אצל משיח בן דויד	ragil	8
eq	ENGINE_MATCH	1314	שמחת עולם תהיה	ragil	8
eq	ENGINE_MATCH	14	חב״ד	gadol; ragil; siduri	8
eq	ENGINE_MATCH	770	תשע	gadol; ragil	8
eq	ENGINE_MATCH	770	אז אגמור בשיר	gadol; ragil; ragil_calc; gadol_calc	8
eq	NOT_ENGINE_REPRODUCED	770	יפל מצידך אלף ורבבה מימינך	ragil=780; gadol=2460	8
eq	NOT_ENGINE_REPRODUCED	1430	אדוננו מורנו ורבינו מלך המשיח לעולם ועד	ragil=1402; gadol=2442	8
eq	ENGINE_MATCH	1430	אני ואתה נשנה את העולם	ragil; ragil_calc	8
eq	ENGINE_MATCH	1430	גאולתך ישראל חג פסח האחרון	ragil	8
eq	NOT_ENGINE_REPRODUCED	2220	שניאורסון בן לוי יצחק יא בניסן תשפו	ragil=1958; gadol=3908	8
eq	NOT_ENGINE_REPRODUCED	2220	אשר עיני אל ההרים מאין יבא עזרי	ragil=1333; gadol=2543	8
eq	ENGINE_MATCH	1717	שבת הגדול ט בניסן תשפו	ragil	8
eq	NOT_ENGINE_REPRODUCED	1717	רבי מנחם מנדל שניאורסון	ragil=1157; gadol=2367	8
eq	ENGINE_MATCH	1717	שיר פשוט כפול משולש	gadol; ragil	8
eq	ENGINE_MATCH	1717	גן עדן המתמזג לעולם התחתון	ragil	8
