# content_old vs content delta layer — all 510 residual posts where the two differ.
# Verified outcome: 467 media/URL migration only, 35 media-shortcode removal, 5 whitespace,
# 2 embedder-title metadata loss (posts 231, 1034), 1 genuine semantic rewrite with material
# loss (post 1079 / wp19498) where 79 claim-strings survive ONLY in content_old.
# post	wp	class	old_len	new_len	delta	similarity	urls_removed	urls_added	claims_only_in_old
126	32446	MEDIA_URL_MIGRATION_ONLY	35	35	0	1.0	22	5	0
128	32217	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	10	1	0
129	32211	MEDIA_URL_MIGRATION_ONLY	137	137	0	1.0	3	3	0
132	31904	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	1	0
133	31891	MEDIA_URL_MIGRATION_ONLY	5695	5695	0	1.0	29	20	0
134	31889	MEDIA_URL_MIGRATION_ONLY	34	34	0	1.0	10	1	0
135	31879	MEDIA_URL_MIGRATION_ONLY	57	57	0	1.0	2	1	0
139	31747	MEDIA_URL_MIGRATION_ONLY	426	426	0	1.0	27	5	0
140	31739	MEDIA_URL_MIGRATION_ONLY	1687	1687	0	1.0	37	11	0
143	31670	MEDIA_URL_MIGRATION_ONLY	143	143	0	1.0	1	1	0
145	31656	MEDIA_URL_MIGRATION_ONLY	22408	22408	0	1.0	12	4	0
147	31603	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	1	1	0
151	31511	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	12	2	0
154	31307	MEDIA_URL_MIGRATION_ONLY	12211	12211	0	1.0	7	2	0
156	31278	MEDIA_URL_MIGRATION_ONLY	167	167	0	1.0	12	8	0
158	31246	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	3	2	0
159	31228	MEDIA_URL_MIGRATION_ONLY	34	34	0	1.0	1	1	0
163	30887	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	1	1	0
165	30856	MEDIA_URL_MIGRATION_ONLY	7342	7342	0	1.0	66	9	0
166	30832	MEDIA_URL_MIGRATION_ONLY	806	806	0	1.0	2	2	0
170	30600	MEDIA_URL_MIGRATION_ONLY	8459	8459	0	1.0	21	2	0
171	30592	MEDIA_URL_MIGRATION_ONLY	4407	4407	0	1.0	18	3	0
173	30547	MEDIA_URL_MIGRATION_ONLY	270	270	0	1.0	5	3	0
175	30421	MEDIA_URL_MIGRATION_ONLY	1448	1448	0	1.0	42	4	0
178	30148	MEDIA_URL_MIGRATION_ONLY	47513	47513	0	1.0	4	2	0
183	29631	MEDIA_URL_MIGRATION_ONLY	1832	1832	0	1.0	1	1	0
184	29608	MEDIA_URL_MIGRATION_ONLY	4480	4480	0	1.0	6	1	0
192	29289	MEDIA_URL_MIGRATION_ONLY	3067	3067	0	1.0	9	2	0
194	29250	MEDIA_URL_MIGRATION_ONLY	5482	5482	0	1.0	9	2	0
195	29239	MEDIA_URL_MIGRATION_ONLY	134	134	0	1.0	20	8	0
196	29213	MEDIA_URL_MIGRATION_ONLY	137261	137261	0	1.0	11	4	0
197	29212	MEDIA_URL_MIGRATION_ONLY	3248	3248	0	1.0	103	10	0
198	29197	MINOR_TEXT_EDIT	12018	11988	-30	0.9983	5	2	0
199	29176	MEDIA_URL_MIGRATION_ONLY	72	72	0	1.0	8	2	0
1625	12469	MEDIA_URL_MIGRATION_ONLY	97	97	0	1.0	1	1	0
1634	12333	MEDIA_URL_MIGRATION_ONLY	8	8	0	1.0	2	2	0
1637	12299	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	1	1	0
1638	12259	MEDIA_URL_MIGRATION_ONLY	547	547	0	1.0	1	1	0
1647	12025	MEDIA_URL_MIGRATION_ONLY	108	108	0	1.0	2	2	0
1653	10662	MEDIA_URL_MIGRATION_ONLY	94	94	0	1.0	1	1	0
1658	10590	DELETED_MATERIAL	162	113	-49	0.8218	1	1	0
1660	10525	DELETED_MATERIAL	194	145	-49	0.8555	1	1	0
1671	10303	DELETED_MATERIAL	181	132	-49	0.8435	1	1	0
1679	10125	MEDIA_URL_MIGRATION_ONLY	26	26	0	1.0	4	4	0
1681	10082	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	3	3	0
1684	10056	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	3	3	0
1685	10041	DELETED_MATERIAL	360	311	-49	0.927	1	2	0
1687	10020	MEDIA_URL_MIGRATION_ONLY	90	90	0	1.0	3	3	0
1689	9987	DELETED_MATERIAL	189	140	-49	0.8511	1	1	0
1698	9822	DELETED_MATERIAL	89	40	-49	0.6202	1	1	0
1699	9816	DELETED_MATERIAL	97	48	-49	0.6621	1	1	0
1700	9790	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	68	8	0
1708	8742	DELETED_MATERIAL	97	47	-50	0.6528	1	1	0
1713	8584	DELETED_MATERIAL	213	164	-49	0.87	1	1	0
1729	8320	DELETED_MATERIAL	227	177	-50	0.8762	1	0	0
1746	7630	DELETED_MATERIAL	369	320	-49	0.9289	1	1	0
2600	36935	EDITORIAL_ADDITION	719	1861	1142	0.5574	9	5	0
202	29138	MEDIA_URL_MIGRATION_ONLY	130282	130282	0	1.0	1	1	0
205	29085	MEDIA_URL_MIGRATION_ONLY	6476	6476	0	1.0	9	2	0
206	29068	MEDIA_URL_MIGRATION_ONLY	5397	5397	0	1.0	2	2	0
207	29053	MEDIA_URL_MIGRATION_ONLY	257474	257474	0	1.0	1	1	0
208	29030	MEDIA_URL_MIGRATION_ONLY	15	15	0	1.0	9	2	0
209	29022	MEDIA_URL_MIGRATION_ONLY	222541	222541	0	1.0	5	1	0
210	28999	MEDIA_URL_MIGRATION_ONLY	8159	8159	0	1.0	4	3	0
212	28965	MEDIA_URL_MIGRATION_ONLY	23485	23485	0	1.0	6	4	0
216	28625	MEDIA_URL_MIGRATION_ONLY	1	1	0	1.0	1482	228	0
217	28546	MEDIA_URL_MIGRATION_ONLY	107	107	0	1.0	7	1	0
218	28518	MEDIA_URL_MIGRATION_ONLY	3388	3388	0	1.0	3	3	0
219	28514	MEDIA_URL_MIGRATION_ONLY	30	30	0	1.0	1	1	0
222	28484	MEDIA_URL_MIGRATION_ONLY	1757	1757	0	1.0	13	1	0
224	28377	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	4	1	0
225	28349	MEDIA_URL_MIGRATION_ONLY	126	126	0	1.0	4	2	0
228	28308	MEDIA_URL_MIGRATION_ONLY	456	456	0	1.0	8	1	0
231	28293	DELETED_MATERIAL	189	124	-65	0.7923	2	2	0
232	28281	MEDIA_URL_MIGRATION_ONLY	31	31	0	1.0	1	1	0
234	28222	MEDIA_URL_MIGRATION_ONLY	27	27	0	1.0	46	7	0
237	28173	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	14	1	0
238	28146	MEDIA_URL_MIGRATION_ONLY	1152	1152	0	1.0	2	1	0
239	28134	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	12	2	0
242	28040	MEDIA_URL_MIGRATION_ONLY	3140	3140	0	1.0	14	2	0
243	28005	MEDIA_URL_MIGRATION_ONLY	2311	2311	0	1.0	149	17	0
244	27958	MEDIA_URL_MIGRATION_ONLY	2276	2276	0	1.0	8	1	0
246	27853	MEDIA_URL_MIGRATION_ONLY	2143	2143	0	1.0	11	2	0
248	27740	MEDIA_URL_MIGRATION_ONLY	15513	15513	0	1.0	11	3	0
249	27719	MEDIA_URL_MIGRATION_ONLY	3366	3366	0	1.0	20	3	0
251	27652	MEDIA_URL_MIGRATION_ONLY	293	293	0	1.0	8	3	0
252	27637	MEDIA_URL_MIGRATION_ONLY	1743	1743	0	1.0	1	2	0
257	27489	MEDIA_URL_MIGRATION_ONLY	197	197	0	1.0	26	5	0
259	27434	MEDIA_URL_MIGRATION_ONLY	228	228	0	1.0	11	1	0
263	27141	MEDIA_URL_MIGRATION_ONLY	3300	3300	0	1.0	9	1	0
265	27103	MEDIA_URL_MIGRATION_ONLY	1050	1050	0	1.0	9	1	0
269	26940	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	1	0
272	26875	MEDIA_URL_MIGRATION_ONLY	12591	12591	0	1.0	4	1	0
278	26780	MEDIA_URL_MIGRATION_ONLY	350	350	0	1.0	2	0	0
281	26713	MEDIA_URL_MIGRATION_ONLY	2809	2809	0	1.0	1	1	0
282	26686	MEDIA_URL_MIGRATION_ONLY	32021	32021	0	1.0	10	2	0
284	26602	MEDIA_URL_MIGRATION_ONLY	15785	15785	0	1.0	9	2	0
288	26453	MEDIA_URL_MIGRATION_ONLY	1052	1052	0	1.0	21	2	0
289	26440	MEDIA_URL_MIGRATION_ONLY	97	97	0	1.0	4	3	0
290	26422	MEDIA_URL_MIGRATION_ONLY	14232	14232	0	1.0	2	1	0
291	26413	MEDIA_URL_MIGRATION_ONLY	44	44	0	1.0	2	1	0
292	26386	MEDIA_URL_MIGRATION_ONLY	204	204	0	1.0	15	6	0
293	26384	MEDIA_URL_MIGRATION_ONLY	20699	20699	0	1.0	8	1	0
296	26336	MEDIA_URL_MIGRATION_ONLY	26693	26693	0	1.0	14	4	0
297	26323	MEDIA_URL_MIGRATION_ONLY	642	642	0	1.0	10	1	0
298	26301	MEDIA_URL_MIGRATION_ONLY	8940	8940	0	1.0	42	32	0
299	26290	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	9	1	0
300	26284	MEDIA_URL_MIGRATION_ONLY	106	106	0	1.0	1	1	0
903	24058	MEDIA_URL_MIGRATION_ONLY	122	122	0	1.0	19	2	0
907	23879	MINOR_TEXT_EDIT	1422	1412	-10	0.9965	10	2	0
908	23858	MEDIA_URL_MIGRATION_ONLY	4645	4645	0	1.0	14	2	0
913	23796	MEDIA_URL_MIGRATION_ONLY	2292	2292	0	1.0	12	1	0
917	23715	MEDIA_URL_MIGRATION_ONLY	57	57	0	1.0	2	1	0
920	23593	MEDIA_URL_MIGRATION_ONLY	136	136	0	1.0	24	3	0
929	23522	MEDIA_URL_MIGRATION_ONLY	108	108	0	1.0	1	2	0
930	23519	MEDIA_URL_MIGRATION_ONLY	22	22	0	1.0	1	1	0
932	23507	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	1	0
933	23498	MEDIA_URL_MIGRATION_ONLY	139	139	0	1.0	1	1	0
934	23473	MEDIA_URL_MIGRATION_ONLY	2122	2122	0	1.0	132	14	0
936	23383	MEDIA_URL_MIGRATION_ONLY	12625	12625	0	1.0	7	1	0
939	23353	MEDIA_URL_MIGRATION_ONLY	209	209	0	1.0	22	3	0
941	23273	MEDIA_URL_MIGRATION_ONLY	5597	5597	0	1.0	34	4	0
944	23227	MEDIA_URL_MIGRATION_ONLY	22993	22993	0	1.0	2	1	0
945	23222	MEDIA_URL_MIGRATION_ONLY	164	164	0	1.0	10	2	0
946	23211	MEDIA_URL_MIGRATION_ONLY	272	272	0	1.0	2	0	0
947	23163	MEDIA_URL_MIGRATION_ONLY	5006	5006	0	1.0	23	2	0
948	23147	MEDIA_URL_MIGRATION_ONLY	67	67	0	1.0	40	7	0
949	23133	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	1	0
950	23109	MEDIA_URL_MIGRATION_ONLY	60	60	0	1.0	49	9	0
951	23102	MEDIA_URL_MIGRATION_ONLY	16331	16331	0	1.0	7	2	0
954	23064	MEDIA_URL_MIGRATION_ONLY	189	189	0	1.0	1	2	0
956	23040	MEDIA_URL_MIGRATION_ONLY	638	638	0	1.0	3	2	0
957	23028	MEDIA_URL_MIGRATION_ONLY	28	28	0	1.0	2	2	0
958	22955	MEDIA_URL_MIGRATION_ONLY	122	122	0	1.0	393	57	0
961	22910	MEDIA_URL_MIGRATION_ONLY	2	2	0	1.0	8	1	0
962	22883	MEDIA_URL_MIGRATION_ONLY	1705	1705	0	1.0	38	7	0
963	22875	MEDIA_URL_MIGRATION_ONLY	77	77	0	1.0	2	1	0
964	22797	MEDIA_URL_MIGRATION_ONLY	2807	2807	0	1.0	23	2	0
965	22815	MEDIA_URL_MIGRATION_ONLY	98	98	0	1.0	1	1	0
966	22666	MEDIA_URL_MIGRATION_ONLY	418	418	0	1.0	2	1	0
968	22726	MEDIA_URL_MIGRATION_ONLY	1214	1214	0	1.0	7	1	0
969	22716	MEDIA_URL_MIGRATION_ONLY	1018	1018	0	1.0	5	2	0
977	22525	MEDIA_URL_MIGRATION_ONLY	7342	7342	0	1.0	2	1	0
978	22494	MEDIA_URL_MIGRATION_ONLY	3499	3499	0	1.0	2	1	0
979	22482	REPRESENTATION_CHANGE_ONLY	1918	1917	-1	0.9997	13	2	0
981	22424	MEDIA_URL_MIGRATION_ONLY	700	700	0	1.0	166	28	0
982	22387	MEDIA_URL_MIGRATION_ONLY	2742	2742	0	1.0	83	9	0
984	22363	MEDIA_URL_MIGRATION_ONLY	279	279	0	1.0	9	2	0
985	22323	MEDIA_URL_MIGRATION_ONLY	3410	3410	0	1.0	18	3	0
986	22285	MEDIA_URL_MIGRATION_ONLY	64	64	0	1.0	25	3	0
987	22258	MEDIA_URL_MIGRATION_ONLY	24636	24636	0	1.0	12	8	0
990	22158	MEDIA_URL_MIGRATION_ONLY	292	292	0	1.0	12	1	0
991	22146	MEDIA_URL_MIGRATION_ONLY	9253	9253	0	1.0	10	2	0
993	22009	MEDIA_URL_MIGRATION_ONLY	431	431	0	1.0	60	6	0
995	21951	MEDIA_URL_MIGRATION_ONLY	11324	11324	0	1.0	3	1	0
996	21879	MEDIA_URL_MIGRATION_ONLY	17914	17914	0	1.0	9	3	0
997	21874	MEDIA_URL_MIGRATION_ONLY	25	25	0	1.0	1	1	0
999	21821	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	13	2	0
1000	21814	MEDIA_URL_MIGRATION_ONLY	82	82	0	1.0	8	1	0
1001	21803	MEDIA_URL_MIGRATION_ONLY	62	62	0	1.0	2	1	0
1002	21799	MEDIA_URL_MIGRATION_ONLY	62	62	0	1.0	1	1	0
1004	21703	MEDIA_URL_MIGRATION_ONLY	5084	5084	0	1.0	4	2	0
1005	21694	MEDIA_URL_MIGRATION_ONLY	95	95	0	1.0	4	4	0
1007	21611	MEDIA_URL_MIGRATION_ONLY	4160	4160	0	1.0	92	12	0
1008	21568	MEDIA_URL_MIGRATION_ONLY	2028	2028	0	1.0	3	2	0
1009	21560	MEDIA_URL_MIGRATION_ONLY	52	52	0	1.0	2	1	0
1011	21538	MEDIA_URL_MIGRATION_ONLY	35	35	0	1.0	11	1	0
1012	21510	MEDIA_URL_MIGRATION_ONLY	35502	35502	0	1.0	50	12	0
1014	21476	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	8	1	0
1016	8654	MEDIA_URL_MIGRATION_ONLY	1991	1991	0	1.0	4	2	0
1018	21333	MEDIA_URL_MIGRATION_ONLY	278	278	0	1.0	11	1	0
1019	21325	MEDIA_URL_MIGRATION_ONLY	3211	3211	0	1.0	7	2	0
1020	21122	MEDIA_URL_MIGRATION_ONLY	1453	1453	0	1.0	10	4	0
1021	21107	MEDIA_URL_MIGRATION_ONLY	15	15	0	1.0	14	2	0
1024	21017	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	2	1	0
1025	21014	MEDIA_URL_MIGRATION_ONLY	68	68	0	1.0	8	1	0
1026	21002	MEDIA_URL_MIGRATION_ONLY	907	907	0	1.0	6	1	0
1028	20954	MEDIA_URL_MIGRATION_ONLY	15031	15031	0	1.0	2	2	0
1029	20934	MEDIA_URL_MIGRATION_ONLY	243	243	0	1.0	117	21	0
1030	20878	MEDIA_URL_MIGRATION_ONLY	866	866	0	1.0	66	10	0
1032	20836	MEDIA_URL_MIGRATION_ONLY	13400	13400	0	1.0	34	6	0
1033	20809	MEDIA_URL_MIGRATION_ONLY	1236	1236	0	1.0	45	7	0
1034	20796	DELETED_MATERIAL	184	121	-63	0.7934	64	14	0
1041	20714	MEDIA_URL_MIGRATION_ONLY	33	33	0	1.0	8	2	0
1045	20640	MEDIA_URL_MIGRATION_ONLY	7128	7128	0	1.0	65	7	0
1046	20625	MEDIA_URL_MIGRATION_ONLY	229	229	0	1.0	1	2	0
1048	20594	MEDIA_URL_MIGRATION_ONLY	120	120	0	1.0	2	2	0
1049	20569	MEDIA_URL_MIGRATION_ONLY	9561	9561	0	1.0	58	5	0
1050	20559	MEDIA_URL_MIGRATION_ONLY	13305	13305	0	1.0	1	1	0
1052	20478	MEDIA_URL_MIGRATION_ONLY	358	358	0	1.0	1	1	0
1053	20424	MEDIA_URL_MIGRATION_ONLY	710	710	0	1.0	3	2	0
1055	20325	MEDIA_URL_MIGRATION_ONLY	202	202	0	1.0	2	1	0
1057	20252	MEDIA_URL_MIGRATION_ONLY	16664	16664	0	1.0	178	17	0
1058	20218	MEDIA_URL_MIGRATION_ONLY	4996	4996	0	1.0	177	19	0
1059	19963	MEDIA_URL_MIGRATION_ONLY	8242	8242	0	1.0	20	4	0
1064	19904	MEDIA_URL_MIGRATION_ONLY	0	0	0	1.0	6	1	0
1066	19840	MEDIA_URL_MIGRATION_ONLY	33	33	0	1.0	133	23	0
1067	19827	MEDIA_URL_MIGRATION_ONLY	3880	3880	0	1.0	24	2	0
1068	19806	MEDIA_URL_MIGRATION_ONLY	6249	6249	0	1.0	9	1	0
1071	19706	MEDIA_URL_MIGRATION_ONLY	139	139	0	1.0	12	3	0
1072	19688	MEDIA_URL_MIGRATION_ONLY	1481	1481	0	1.0	11	3	0
1073	19652	MEDIA_URL_MIGRATION_ONLY	914	914	0	1.0	7	2	0
1075	19613	MEDIA_URL_MIGRATION_ONLY	270	270	0	1.0	30	4	0
1077	19568	MEDIA_URL_MIGRATION_ONLY	8359	8359	0	1.0	30	3	0
