# סוד החשמל — מסרים (messages) register, extracted from post id=1255 (wp_id=7358, 2015-11-12)
# Each row = one numbered message source unit with its stated attribution.
# parsed=329 distinct=328 range=0-360 gaps=33
# READ-ONLY extraction. Attributions are SOURCE CLAIMS as published, not verified biography.
# msg_no	stated_source
24	האדמו"ר ר' אהרון מבעלזא זצ"ל אמר בתש"ח על ילד שהוא יזכה לקבל פני משיח
23	מרן הגר"ח קניבסקי שליט"א המשיח כבר לא בפתח הוא בפנים ועומד להתגלות בקרוב
22	רמזים מהאדמו"ר מצאנז שליט"א מנתניה
21	הגרסאות השונות על המסורת מהגר"א שמלחמת גוג ומגוג תתחיל כשהרוסים יעברו בדרדנלים
20	מסר מהגר"ח קניבסקי שליט"א לכנס בעלי תשובה קול מבשר ואומר, ודברי המקובל ר' ניסים מויאל שליט"א שהמשיח עומד להגיע
19	גדולי ישראל אומרים שהמשיח בפתח
18	מרן הגראי"ל שטינמן שליט"א: המשיח עומד להגיע
17	הג"ר ישראל אליהו וינטרויב זצ"ל ביאר את מסורת הגר"א כשהרוסים יעברו את הדרדנלים על התערבות רוסיה במלכות ישמעאל ולא דוקא טורקיה
16	האדמו"ר מסערט ויזניץ זצ"ל רמז בסוכות תשע"ה שהמשיח קרוב
15	עדות בשם אשה בת 89 שהמקובל ר' אברהם פיש זצ"ל מתל אביב אמר לה שהיא תזכה לראות את מלך המשיח
14	בעל הסולם רמז על שנת תשע"ו שתתפשט בה פנימיות התורה בעולם
13	מרן הגראי"ל שטינמן שליט"א: אנחנו כבר בתוך הזמן של בעיתה
12	דברי המקובל ר' ניסים מויאל שליט"א שהמשיח בתוכינו ועומד להתגלות
10	דברים בשם אחד הצדיקים שעומדת לפרוץ מלחמה בין רוסיה לאמריקה סביבות ארץ ישראל
9	דברי הרה"ג ר' דוד חיים שטרן שליט"א על מסורת הגר"א שהרוסים יעברו בדרדנלים זה סימן לביאת המשיח
8	דברי ה'חזון איש' על מלחמת תש"ח שהיא לא יכולה להיות מלחמת הגאולה כי הצבור ישן ואין התעוררות להבאת הגאולה
7	מסרים מצדיקים נסתרים על שנת תשע"ו כזמן של בעיתה
6	צדיקים ברובע היהודי בירושלים הרגישו בהושענא רבה תשע"ו שהוא האחרון לפני הגאולה
2	האדמו"ר מפרימישלאן שליט"א מרמז על גאולה בקרוב שתהיה ברחמים
1	דברי האדמו"ר ר' דוד אבוחצירא שליט"א שהמשיח נמצא ומחכים שיתגלה
0	דברי האדמו"ר מקלוזנבורג שליט"א מנתניה על שנת תשע"ו כשנת גאולה
